Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total ('000),Share of workforce
1993,2491,Education Advisers and Reviewers,1,0.4,8.61753417,0.001187012
1993,2492,Private Tutors and Teachers,1,11.9,23.66646038,0.003259909
1993,2493,Teachers of English to Speakers of Other Languages,1,17.1,2.158020443,0.000297254
1993,2511,Nutrition Professionals,1,0.4,1.609724518,0.00022173
1993,2512,Medical Imaging Professionals,1,30.2,6.72692423,0.000926592
1993,2513,Occupational and Environmental Health Professionals,1,12,6.8187863,0.000939246
1993,2514,Optometrists and Orthoptists,1,14,1.948298823,0.000268366
1993,2515,Pharmacists,1,1.2,13.82719284,0.00190461
1993,2519,Other Health Diagnostic and Promotion Professionals,1,41.9,2.35903657,0.000324943
1993,2521,Chiropractors and Osteopaths,1,0.8,1.785384343,0.000245926
1993,2522,Complementary Health Therapists,1,2.5,3.114085983,0.000428946
1993,2523,Dental Practitioners,1,0.5,8.397606903,0.001156718
1993,2524,Occupational Therapists,1,0.8,5.548689938,0.000764298
1993,2525,Physiotherapists,1,2.1,7.689945163,0.001059242
1993,2527,Audiologists and Speech Pathologists \ Therapists,1,0.6,3.277945155,0.000451517
1993,2611,ICT Business and Systems Analysts,1,0.7,10.91629009,0.001503651
1993,2613,Software and Applications Programmers,1,27.3,37.35660789,0.005145642
1993,2621,"Database and Systems Administrators, and ICT Security Specialists",1,3,14.17898015,0.001953067
1993,2631,Computer Network Professionals,1,3,9.958096238,0.001371666
1993,2633,Telecommunications Engineering Professionals,1,2.5,5.63625362,0.000776359
1993,2711,Barristers,1,3.5,2.671905613,0.000368038
1993,2712,Judicial and Other Legal Professionals,1,11.8,5.138437038,0.000707788
1993,2713,Solicitors,1,3.5,27.50007458,0.003787965
1993,2721,Counsellors,1,5.2,9.53390506,0.001313236
1993,2722,Ministers of Religion,1,1.3,12.02473343,0.001656333
1993,2723,Psychologists,1,0.5,6.364553308,0.000876678
1993,2724,Social Professionals,1,24.6,3.937792778,0.000542407
1993,2725,Social Workers,1,3.7,9.177824028,0.001264189
1993,2726,"Welfare, Recreation and Community Arts Workers",1,3.7,8.375288373,0.001153644
1993,3111,Agricultural Technicians,2,73.1,2.490855953,0.0003431
1993,3112,Medical Technicians,2,61.7,9.194019353,0.001266419
1993,3113,Primary Products Inspectors,2,33.7,2.601450823,0.000358334
1993,3114,Science Technicians,2,55,20.28743709,0.002794469
1993,3121,"Architectural, Building and Surveying Technicians",2,45.3,27.95522208,0.003850659
1993,3122,Civil Engineering Draftspersons and Technicians,2,63,9.192748638,0.001266244
1993,3123,Electrical Engineering Draftspersons and Technicians,2,77.3,7.077461635,0.000974877
1993,3124,Electronic Engineering Draftspersons and Technicians,2,82.8,18.64342338,0.002568016
1993,3125,Mechanical Engineering Draftspersons and Technicians,2,56.1,7.346668893,0.001011958
1993,3126,Safety Inspectors,2,21.1,3.290969078,0.000453311
1993,3129,Other Building and Engineering Technicians,2,43.5,7.972532093,0.001098167
1993,3131,ICT Support Technicians,2,31,21.68808247,0.002987399
1993,3132,Telecommunications Technical Specialists,2,73.2,7.402984763,0.001019715
1993,3211,Automotive Electricians,3,59.2,7.62316795,0.001050044
1993,3212,Motor Mechanics,3,65.1,99.48877585,0.013703964
1993,3221,"Metal Casting, Forging and Finishing Trades Workers",3,92.2,5.912971618,0.000814475
1993,3222,Sheetmetal Trades Workers,3,80.7,12.5851437,0.001733526
1993,3223,Structural Steel and Welding Trades Workers,3,83.2,53.04274909,0.007306311
1993,3231,Aircraft Maintenance Engineers,3,52.4,7.582595338,0.001044456
1993,3232,Metal Fitters and Machinists,3,64.4,97.11149058,0.013376507
1993,3233,Precision Metal Trades Workers,3,55.8,9.212036985,0.001268901
1993,3234,Toolmakers and Engineering Patternmakers,3,79,10.55813058,0.001454317
1993,3241,Panelbeaters,3,80.7,21.15292864,0.002913685
1993,3242,Vehicle Body Builders and Trimmers,3,68.2,2.964760078,0.000408377
1993,3243,Vehicle Painters,3,79.6,12.93966812,0.001782359
1993,3311,Bricklayers and Stonemasons,3,83.1,27.70673905,0.003816432
1993,3312,Carpenters and Joiners,3,72,94.77414623,0.013054553
1993,3321,Floor Finishers,3,80.6,7.289029898,0.001004019
1993,3322,Painting Trades Workers,3,75.2,38.13694646,0.005253129
1993,3331,Glaziers,3,73,7.014493223,0.000966203
1993,3332,Plasterers,3,77.5,17.53080204,0.00241476
1993,3333,Roof Tilers,3,90,7.196658513,0.000991295
1993,3334,Wall and Floor Tilers,3,80.6,8.404586128,0.00115768
1993,3341,Plumbers,3,40.3,51.94962732,0.00715574
1993,3411,Electricians,3,27.7,85.5909852,0.011789629
1993,3421,Airconditioning and Refrigeration Mechanics,3,56.3,13.4602317,0.001854064
1993,3422,Electrical Distribution Trades Workers,3,7.3,9.542085965,0.001314363
1993,3423,Electronics Trades Workers,3,47.9,20.84129912,0.00287076
1993,3424,Telecommunications Trades Workers,3,44.8,28.56973425,0.003935304
1993,3511,Bakers and Pastrycooks,3,89,13.34769487,0.001838562
1993,3512,Butchers and Smallgoods Makers,3,86.4,20.38928843,0.002808498
1993,3513,Chefs,2,52.2,27.80368473,0.003829786
1993,3514,Cooks,3,86.2,35.52694786,0.004893617
1993,3611,Animal Attendants and Trainers,3,73.9,11.99118391,0.001651711
1993,3612,Shearers,3,61.8,8.418374013,0.001159579
1993,3613,Veterinary Nurses,3,42.6,3.421694363,0.000471317
1993,3621,Florists,3,40,5.019243318,0.00069137
1993,3622,Gardeners,3,66,39.22905449,0.00540356
1993,3623,Greenkeepers,3,66,11.1673595,0.001538235
1993,3624,Nurserypersons,3,66,6.417782188,0.00088401
1993,3911,Hairdressers,3,15.8,42.58338838,0.005865598
1993,3921,Print Finishers and Screen Printers,3,90.1,7.900115065,0.001088192
1993,3922,Graphic Pre-press Trades Workers,3,74.8,10.92761997,0.001505212
1993,3923,Printers,3,83,20.9781571,0.002889611
1993,3931,Canvas and Leather Goods Makers,3,69.9,7.340924988,0.001011167
1993,3932,Clothing Trades Workers,3,80.9,11.79512042,0.001624705
1993,3933,Upholsterers,3,39,5.61675866,0.000773674
1993,3941,Cabinetmakers,3,91.3,23.60836915,0.003251907
1993,3942,Wood Machinists and Other Wood Trades Workers,3,90.7,12.83499714,0.001767941
1993,3991,Boat Builders and Shipwrights,3,76,2.815359093,0.000387798
1993,3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",3,60.3,8.03262357,0.001106444
1993,3993,"Gallery, Library and Museum Technicians",2,90.7,1.0084806,0.000138912
1993,3994,Jewellers,3,95,4.021662685,0.000553959
1993,3995,Performing Arts Technicians,3,49.6,6.26206555,0.000862561
1993,3996,Signwriters,3,93.3,6.029371668,0.000830509
1993,3999,Other Miscellaneous Technicians and Trades Workers,3,46.6,4.98660719,0.000686874
1993,4111,Ambulance Officers and Paramedics,2,49.4,6.024224945,0.0008298
1993,4112,"Dental Hygienists, Technicians and Therapists",2,67,4.028824715,0.000554946
1993,4113,Diversional Therapists,3,9.1,1.675276745,0.000230759
1993,4114,Enrolled and Mothercraft Nurses,2,5.8,34.53140869,0.004756488
1993,4116,Massage Therapists,2,27.2,1.454054508,0.000200287
1993,4117,Welfare Support Workers,2,12.7,20.91192353,0.002880488
1993,4211,Child Carers,4,8.4,43.57899739,0.006002737
1993,4221,Education Aides,4,56,21.86986195,0.003012438
1993,4231,Aged and Disabled Carers,4,55,26.37573651,0.003633095
1993,4233,Nursing Support and Personal Care Workers,4,47.4,40.27382499,0.00554747
1993,4234,Special Care Workers,4,9.3,0.766203295,0.00010554
1993,4311,Bar Attendants and Baristas,4,77,52.60183844,0.007245578
1993,4312,Cafe Workers,5,92.9,13.15658014,0.001812238
1993,4313,Gaming Workers,4,76.9,3.906186505,0.000538053
1993,4314,Hotel Service Managers,3,94,6.19038184,0.000852687
1993,4315,Waiters,4,93.6,60.03858541,0.008269944
1993,4319,Other Hospitality Workers,5,66.2,2.538350235,0.000349642
1993,4412,Fire and Emergency Workers,3,19,9.517263558,0.001310944
1993,4413,Police,2,10.4,37.51035768,0.00516682
1993,4421,Prison Officers,4,54.6,8.039173515,0.001107346
1993,4422,Security Officers and Guards,5,83.1,27.39361215,0.003773301
1993,4511,Beauty Therapists,4,35.1,6.694361898,0.000922107
1993,4512,Driving Instructors,3,13,2.694886195,0.000371204
1993,4513,Funeral Workers,2,39,1.904020205,0.000262267
1993,4514,"Gallery, Museum and Tour Guides",4,61,4.268448593,0.000587952
1993,4515,Personal Care Consultants,4,35.1,1.329702023,0.000183158
1993,4516,Tourism and Travel Advisers,4,45.6,13.78081777,0.001898222
1993,4517,Travel Attendants,3,35.4,6.581868253,0.000906612
1993,4518,Other Personal Service Workers,4,51.8,3.321396238,0.000457502
1993,4521,Fitness Instructors,4,8.3,5.76662693,0.000794317
1993,4522,Outdoor Adventure Guides,4,8.3,0.341577205,4.70501E-05
1993,4523,"Sports Coaches, Instructors and Officials",3,8.9,11.24730989,0.001549247
1993,4524,Sportspersons,3,40.3,3.49754835,0.000481766
1993,5111,"Contract, Program and Project Administrators",2,34.7,10.97302046,0.001511466
1993,5121,Office Managers,2,1.4,67.79892317,0.009338882
1993,5122,Practice Managers,2,60.2,5.435089838,0.00074865
1993,5211,Personal Assistants,3,85.1,71.62002141,0.009865215
1993,5212,Secretaries,3,95.4,123.9318239,0.017070842
1993,5311,General Clerks,4,96,76.16003579,0.010490574
1993,5321,Keyboard Operators,4,95.1,118.2965882,0.016294624
1993,5411,Call or Contact Centre Workers,3,52.3,16.09442422,0.002216907
1993,5412,Information Officers,4,95.9,34.4957826,0.004751581
1993,5421,Receptionists,4,91.6,144.2432475,0.019868615
1993,5511,Accounting Clerks,4,97.2,113.3070633,0.015607347
1993,5512,Bookkeepers,4,97.7,96.05882741,0.013231509
1993,5513,Payroll Clerks,4,97,19.15804344,0.002638902
1993,5521,Bank Workers,4,97.8,98.09955901,0.013512608
1993,5522,Credit and Loans Officers,4,90.1,3.50563882,0.00048288
1993,5523,"Insurance, Money Market and Statistical Clerks",4,92.6,26.47387886,0.003646613
1993,5611,Betting Clerks,5,76.9,4.061105263,0.000559392
1993,5612,Couriers and Postal Deliverers,5,77.8,32.79597553,0.004517443
1993,5613,Filing and Registry Clerks,5,94.5,17.30905941,0.002384216
1993,5614,Mail Sorters,5,77.2,14.40575151,0.001984303
1993,5615,Survey Interviewers,5,94,9.182487093,0.001264831
1993,5616,Switchboard Operators,5,96.1,11.91658975,0.001641437
1993,5619,Other Clerical and Office Support Workers,5,96.7,23.59527014,0.003250103
1993,5911,Purchasing and Supply Logistics Clerks,4,75.3,80.50981824,0.01108973
1993,5912,Transport and Despatch Clerks,4,83.5,27.46718178,0.003783434
1993,5991,Conveyancers and Legal Executives,2,86.5,4.351180948,0.000599348
1993,5992,Court and Legal Clerks,3,87.5,6.599222545,0.000909002
1993,5993,Debt Collectors,4,95,9.112431345,0.001255181
1993,5994,Human Resource Clerks,4,90,9.770500028,0.001345826
1993,5995,Inspectors and Regulatory Officers,4,42.8,21.58507413,0.00297321
1993,5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",3,96.6,2.878175623,0.000396451
1993,5997,Library Assistants,4,96.3,16.53750842,0.00227794
1993,5999,Other Miscellaneous Clerical and Administrative Workers,4,67.3,9.619561878,0.001325035
1993,6111,"Auctioneers, and Stock and Station Agents",3,34.7,2.783635373,0.000383429
1993,6112,Insurance Agents,3,88.5,9.686575335,0.001334266
1993,6113,Sales Representatives,4,77.9,88.12034415,0.012138033
1993,6121,Real Estate Sales Agents,3,79.5,43.82237104,0.006036261
1993,6211,Sales Assistants (General),5,91.7,351.2265449,0.048379285
1993,6212,ICT Sales Assistants,5,92.3,10.94732765,0.001507927
1993,6213,Motor Vehicle and Vehicle Parts Salespersons,4,92.3,22.03084554,0.003034613
1993,6214,Pharmacy Sales Assistants,5,92.3,22.38821601,0.003083838
1993,6215,Retail Supervisors,4,28,16.99432019,0.002340863
1993,6216,Service Station Attendants,5,75.5,9.667423,0.001331628
1993,6217,Street Vendors and Related Salespersons,5,94,15.167407,0.002089217
1993,6219,Other Sales Assistants and Salespersons,5,96.2,6.75362485,0.00093027
1993,6311,Checkout Operators and Office Cashiers,5,96.9,72.63095311,0.010004465
1993,6391,Models and Sales Demonstrators,5,54.4,10.01958575,0.001380136
1993,6392,Retail and Wool Buyers,3,64.1,3.027640118,0.000417039
1993,6393,Telemarketers,5,99,11.20273762,0.001543108
1993,6394,Ticket Salespersons,5,93.2,12.17471666,0.001676992
1993,6395,Visual Merchandisers,4,28.4,1.857858523,0.000255909
1993,6399,Other Sales Support Workers,5,78.6,0.91222807,0.000125654
1993,7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",4,84.4,6.249156873,0.000860783
1993,7112,Industrial Spraypainters,4,79.6,6.722376035,0.000925966
1993,7113,Paper and Wood Processing Machine Operators,4,80.1,11.02618323,0.001518789
1993,7114,Photographic Developers and Printers,4,67.1,7.782052018,0.00107193
1993,7115,Plastics and Rubber Production Machine Operators,4,87.9,20.18516565,0.002780382
1993,7116,Sewing Machinists,4,89,41.05440276,0.00565499
1993,7117,Textile and Footwear Production Machine Operators,4,71.7,14.44516185,0.001989732
1993,7119,Other Machine Operators,4,75.2,8.65188735,0.001191744
1993,7121,"Crane, Hoist and Lift Operators",4,72,8.502173168,0.001171122
1993,7122,"Drillers, Miners and Shot Firers",4,75,24.60069526,0.003388594
1993,7123,Engineering Production Workers,4,81.8,25.03981533,0.00344908
1993,7129,Other Stationary Plant Operators,4,61.7,18.30155616,0.002520926
1993,7211,"Agricultural, Forestry and Horticultural Plant Operators",4,79,7.619868073,0.00104959
1993,7212,Earthmoving Plant Operators,4,93.2,39.97346746,0.005506098
1993,7213,Forklift Drivers,4,91,30.0799315,0.004143325
1993,7219,Other Mobile Plant Operators,4,82.1,5.889532608,0.000811247
1993,7311,Automobile Drivers,4,78.7,24.94280198,0.003435717
1993,7312,Bus and Coach Drivers,4,82.3,26.83514323,0.003696375
1993,7313,Train and Tram Drivers,4,75.8,9.45603032,0.00130251
1993,7321,Delivery Drivers,4,78.7,31.83123058,0.004384555
1993,7331,Truck Drivers,4,78.4,131.524948,0.018116748
1993,7411,Storepersons,4,76.4,57.85224474,0.007968789
1993,8111,Car Detailers,5,37,14.83496645,0.002043425
1993,8112,Commercial Cleaners,5,65.5,149.6239183,0.02060977
1993,8113,Domestic Cleaners,5,69,26.19135853,0.003607698
1993,8114,Housekeepers,5,70.6,10.34962278,0.001425597
1993,8115,Laundry Workers,5,73.1,17.63775883,0.002429492
1993,8116,Other Cleaners,5,78.5,15.88976682,0.002188717
1993,8211,Building and Plumbing Labourers,5,85.8,31.84875801,0.004386969
1993,8212,Concreters,5,90,25.50817896,0.003513594
1993,8213,Fencers,4,85.6,7.033711863,0.00096885
1993,8214,Insulation and Home Improvement Installers,4,67.3,9.205658485,0.001268023
1993,8215,Paving and Surfacing Labourers,5,87.2,13.39385104,0.00184492
1993,8216,Railway Track Workers,4,87.2,5.755642895,0.000792804
1993,8217,Structural Steel Construction Workers,4,77.7,8.057743985,0.001109904
1993,8219,Other Construction and Mining Labourers,5,56.7,6.965458328,0.000959449
1993,8311,Food and Drink Factory Workers,5,74.2,25.8941239,0.003566755
1993,8312,"Meat Boners and Slicers, and Slaughterers",4,86.4,18.90181461,0.002603608
1993,8313,"Meat, Poultry and Seafood Process Workers",5,85.2,23.87690429,0.003288896
1993,8321,Packers,5,60.1,52.19939486,0.007190144
1993,8322,Product Assemblers,5,95.2,34.81538106,0.004795603
1993,8393,Product Quality Controllers,4,97,20.22268454,0.00278555
1993,8394,Timber and Wood Process Workers,5,79.4,18.90302845,0.002603775
1993,8399,Other Factory Process Workers,5,81.8,14.53588833,0.002002229
1993,8413,Forestry and Logging Workers,4,81.8,6.975888655,0.000960886
1993,8414,Garden and Nursery Labourers,5,95,36.44487357,0.005020056
1993,8415,Livestock Farm Workers,5,61.8,34.27371216,0.004720992
1993,8419,"Other Farm, Forestry and Garden Workers",5,67.5,5.138881083,0.000707849
1993,8511,Fast Food Cooks,5,82.8,12.54648633,0.001728201
1993,8512,Food Trades Assistants,5,84.3,6.113700958,0.000842125
1993,8513,Kitchenhands,5,84.3,89.36989182,0.01231015
1993,8911,Freight and Furniture Handlers,5,76.7,10.4849322,0.001444235
1993,8912,Shelf Fillers,5,64,49.05367578,0.006756841
1993,8991,Caretakers,5,66,7.408073365,0.001020416
1993,8992,Deck and Fishing Hands,4,69.4,6.59834512,0.000908881
1993,8993,Handypersons,5,65.4,21.95104086,0.00302362
1993,8994,Motor Vehicle Parts and Accessories Fitters,4,66.6,8.36810132,0.001152654
1993,8995,Printing Assistants and Table Workers,4,80.4,8.633983908,0.001189278
1993,8996,Recycling and Rubbish Collectors,5,78,4.733670208,0.000652034
1993,8997,Vending Machine Attendants,5,89.2,3.908112863,0.000538318
1993,8999,Other Miscellaneous Labourers,5,75.1,31.70102914,0.004366621
1993,2243,Economists,1,43,2.347797968,0.000323395
1993,4232,Dental Assistants,4,60.1,10.88563663,0.001499429
1993,2526,Podiatrists,1,0.8,0.69978646,9.63913E-05
1994,1111,Chief Executives and Managing Directors,1,14,23.17473529,0.003090421
1994,1112,General Managers,1,14,20.35659155,0.002714613
1994,1211,Aquaculture Farmers,1,31.2,1.58853999,0.000211837
1994,1212,Crop Farmers,1,51,42.34663747,0.005647053
1994,1213,Livestock Farmers,1,37.4,83.03987996,0.011073621
1994,1214,Mixed Crop and Livestock Farmers,1,59,96.00989437,0.012803211
1994,1311,"Advertising, Public Relations and Sales Managers",1,1.5,54.44399469,0.007260272
1994,1321,Corporate Services Managers,1,38.9,1.498823725,0.000199873
1994,1322,Finance Managers,1,6.9,27.40078099,0.003653977
1994,1323,Human Resource Managers,1,11.3,15.92628536,0.002123819
1994,1324,Policy and Planning Managers,1,25,14.77754264,0.00197063
1994,1325,Research and Development Managers,1,1.7,3.93968732,0.000525369
1994,1331,Construction Managers,1,9.5,60.26062421,0.008035938
1994,1332,Engineering Managers,1,25,3.60891073,0.000481259
1994,1333,"Importers, Exporters and Wholesalers",1,23.9,13.86939081,0.001849525
1994,1334,Manufacturers,1,3,30.6308869,0.004084722
1994,1335,Production Managers,1,5.5,39.63790069,0.005285835
1994,1336,"Supply, Distribution and Procurement Managers",1,59,11.71673659,0.001562462
1994,1341,Child Care Centre Managers,1,1.5,5.20726085,0.000694404
1994,1342,Health and Welfare Services Managers,1,5,4.185410483,0.000558137
1994,1343,School Principals,1,0.7,11.10572795,0.001480983
1994,1344,Other Education Managers,1,0.7,5.089974128,0.000678764
1994,1351,ICT Managers,1,3.5,9.438200658,0.001258613
1994,1391,Commissioned Officers (Management),1,25,1.7465831,0.000232912
1994,1399,Other Specialist Managers,1,13.1,12.65193917,0.001687175
1994,1411,Cafe and Restaurant Managers,2,8.3,30.25513499,0.004034614
1994,1412,Caravan Park and Camping Ground Managers,2,25,3.595124393,0.000479421
1994,1413,Hotel and Motel Managers,2,0.4,22.19313196,0.002959522
1994,1414,Licensed Club Managers,2,25,5.38123905,0.000717605
1994,1419,Other Accommodation and Hospitality Managers,2,26.1,4.55393214,0.000607281
1994,1421,Retail Managers,2,16.1,228.5289009,0.030475024
1994,1491,"Amusement, Fitness and Sports Centre Managers",2,23.7,6.471514218,0.000862996
1994,1492,Call or Contact Centre and Customer Service Managers,2,49.9,12.71862713,0.001696068
1994,1493,Conference and Event Organisers,2,4.9,2.460225023,0.000328078
1994,1494,Transport Services Managers,2,59,15.76479221,0.002102283
1994,1499,"Other Hospitality, Retail and Service Managers",2,26.4,62.48658196,0.008332776
1994,2111,"Actors, Dancers and Other Entertainers",1,21.4,3.68119068,0.000490898
1994,2112,Music Professionals,1,5.2,6.459844155,0.00086144
1994,2113,Photographers,1,2.1,6.851293798,0.000913641
1994,2114,Visual Arts and Crafts Professionals,1,16.5,11.26638009,0.001502406
1994,2121,"Artistic Directors, and Media Producers and Presenters",1,10,6.414161768,0.000855348
1994,2122,"Authors, and Book and Script Editors",1,38.5,3.830828963,0.000510853
1994,2123,"Film, Television, Radio and Stage Directors",1,8.5,3.464264435,0.00046197
1994,2124,Journalists and Other Writers,1,17,17.60629234,0.002347853
1994,2211,Accountants,1,94.3,84.80184924,0.011308585
1994,2212,"Auditors, Company Secretaries and Corporate Treasurers",1,76.3,8.432568198,0.001124509
1994,2221,Financial Brokers,2,36,8.95122008,0.001193672
1994,2222,Financial Dealers,1,20.5,10.38936624,0.001385454
1994,2223,Financial Investment Advisers and Managers,1,43.8,13.6904345,0.001825661
1994,2231,Human Resource Professionals,1,24.8,27.93806602,0.003725626
1994,2232,ICT Trainers,1,1.4,4.402637445,0.000587105
1994,2233,Training and Development Professionals,1,1.4,12.65235879,0.001687231
1994,2241,"Actuaries, Mathematicians and Statisticians",1,11.9,3.403133138,0.000453818
1994,2242,"Archivists, Curators and Records Managers",1,56,1.61969461,0.000215991
1994,2243,Economists,1,43,3.40583165,0.000454178
1994,2244,Intelligence and Policy Analysts,1,23,5.528812118,0.000737284
1994,2245,Land Economists and Valuers,1,67.6,4.812313363,0.000641737
1994,2246,Librarians,1,59.5,14.70772119,0.001961319
1994,2247,Management and Organisation Analysts,1,10.9,17.52192486,0.002336602
1994,2249,Other Information and Organisation Professionals,1,35.2,4.421499568,0.00058962
1994,2251,Advertising and Marketing Professionals,1,58.2,17.22252894,0.002296677
1994,2252,ICT Sales Professionals,1,15.1,6.776932675,0.000903725
1994,2253,Public Relations Professionals,1,18,7.957855138,0.001061204
1994,2254,Technical Sales Representatives,1,21.7,16.86590013,0.002249119
1994,2311,Air Transport Professionals,1,25.5,7.980105815,0.001064171
1994,2312,Marine Transport Professionals,1,20,7.734167605,0.001031375
1994,2321,Architects and Landscape Architects,1,2.2,13.17007315,0.001756269
1994,2322,Surveyors and Spatial Scientists,1,48.7,6.565687928,0.000875554
1994,2323,"Fashion, Industrial and Jewellery Designers",1,3.1,3.247777435,0.000433101
1994,2324,"Graphic and Web Designers, and Illustrators",1,7.3,16.94384133,0.002259513
1994,2325,Interior Designers,1,15.1,3.218518188,0.000429199
1994,2326,Urban and Regional Planners,1,13,4.60673678,0.000614322
1994,2331,Chemical and Materials Engineers,1,1.8,2.787735635,0.000371753
1994,2332,Civil Engineering Professionals,1,1.9,26.99719036,0.003600157
1994,2333,Electrical Engineers,1,10,12.23254054,0.001631246
1994,2334,Electronics Engineers,1,12.9,4.90379379,0.000653936
1994,2335,"Industrial, Mechanical and Production Engineers",1,2.1,26.68134094,0.003558038
1994,2336,Mining Engineers,1,12,4.017459915,0.00053574
1994,2339,Other Engineering Professionals,1,2.2,5.474477255,0.000730038
1994,2341,Agricultural and Forestry Scientists,1,1.1,3.94094052,0.000525536
1994,2342,"Chemists, and Food and Wine Scientists",1,6.6,9.440371975,0.001258902
1994,2343,Environmental Scientists,1,8.6,8.171873705,0.001089744
1994,2344,"Geologists, Geophysicists and Hydrogeologists",1,53.2,7.4260614,0.000990288
1994,2345,Life Scientists,1,4.3,4.62756929,0.0006171
1994,2346,Medical Laboratory Scientists,1,59.8,9.257795835,0.001234555
1994,2347,Veterinarians,1,3.8,3.859083563,0.000514621
1994,2349,Other Natural and Physical Science Professionals,1,16.1,3.73027956,0.000497444
1994,2411,Early Childhood (Pre-primary School) Teachers,1,5.1,10.0434838,0.001339329
1994,2412,Primary School Teachers,1,5.7,115.5209924,0.015405076
1994,2414,Secondary School Teachers,1,0.8,111.05513,0.014809539
1994,2415,Special Education Teachers,1,1.1,6.388111753,0.000851874
1994,2422,Vocational Education Teachers,1,5.3,30.95085409,0.004127391
1994,2491,Education Advisers and Reviewers,1,0.4,8.438162118,0.001125255
1994,2492,Private Tutors and Teachers,1,11.9,26.78271103,0.003571556
1994,2511,Nutrition Professionals,1,0.4,1.61921366,0.000215927
1994,2512,Medical Imaging Professionals,1,30.2,5.053512288,0.000673901
1994,2513,Occupational and Environmental Health Professionals,1,12,6.333336253,0.00084457
1994,2514,Optometrists and Orthoptists,1,14,1.680361863,0.000224081
1994,2515,Pharmacists,1,1.2,10.25583715,0.001367647
1994,2519,Other Health Diagnostic and Promotion Professionals,1,41.9,2.413070858,0.00032179
1994,2521,Chiropractors and Osteopaths,1,0.8,2.276228965,0.000303542
1994,2522,Complementary Health Therapists,1,2.5,3.135071855,0.000418071
1994,2523,Dental Practitioners,1,0.5,10.29525011,0.001372903
1994,2524,Occupational Therapists,1,0.8,4.88807284,0.000651839
1994,2525,Physiotherapists,1,2.1,7.328852345,0.000977325
1994,2527,Audiologists and Speech Pathologists \ Therapists,1,0.6,2.482554715,0.000331056
1994,2611,ICT Business and Systems Analysts,1,0.7,11.12132819,0.001483063
1994,2613,Software and Applications Programmers,1,27.3,38.08129307,0.005078256
1994,2621,"Database and Systems Administrators, and ICT Security Specialists",1,3,14.44530059,0.001926325
1994,2631,Computer Network Professionals,1,3,10.30601492,0.001374338
1994,2633,Telecommunications Engineering Professionals,1,2.5,7.05930753,0.00094138
1994,2711,Barristers,1,3.5,2.50899006,0.000334581
1994,2712,Judicial and Other Legal Professionals,1,11.8,4.831742255,0.000644328
1994,2713,Solicitors,1,3.5,25.82329767,0.003443615
1994,2721,Counsellors,1,5.2,11.29871154,0.001506718
1994,2722,Ministers of Religion,1,1.3,16.62072359,0.002216424
1994,2723,Psychologists,1,0.5,7.286626293,0.000971694
1994,2724,Social Professionals,1,24.6,4.392405993,0.000585741
1994,2725,Social Workers,1,3.7,7.229543393,0.000964082
1994,2726,"Welfare, Recreation and Community Arts Workers",1,3.7,8.517099728,0.001135781
1994,3111,Agricultural Technicians,2,73.1,2.440035053,0.000325386
1994,3112,Medical Technicians,2,61.7,10.86825836,0.001449315
1994,3113,Primary Products Inspectors,2,33.7,2.331320865,0.000310889
1994,3114,Science Technicians,2,55,19.90490803,0.00265438
1994,3121,"Architectural, Building and Surveying Technicians",2,45.3,30.33702023,0.004045534
1994,3122,Civil Engineering Draftspersons and Technicians,2,63,9.337340253,0.001245163
1994,3123,Electrical Engineering Draftspersons and Technicians,2,77.3,6.142357055,0.000819102
1994,3124,Electronic Engineering Draftspersons and Technicians,2,82.8,15.98558394,0.002131726
1994,3125,Mechanical Engineering Draftspersons and Technicians,2,56.1,8.081629718,0.00107771
1994,3126,Safety Inspectors,2,21.1,2.949240778,0.00039329
1994,3129,Other Building and Engineering Technicians,2,43.5,6.457455955,0.000861121
1994,3131,ICT Support Technicians,2,31,23.96726661,0.003196108
1994,3132,Telecommunications Technical Specialists,2,73.2,6.30958939,0.000841403
1994,3211,Automotive Electricians,3,59.2,7.33298764,0.000977876
1994,3212,Motor Mechanics,3,65.1,95.71742631,0.01276421
1994,3221,"Metal Casting, Forging and Finishing Trades Workers",3,92.2,7.348972533,0.000980008
1994,3222,Sheetmetal Trades Workers,3,80.7,13.7203148,0.001829646
1994,3223,Structural Steel and Welding Trades Workers,3,83.2,59.24285244,0.007900215
1994,3231,Aircraft Maintenance Engineers,3,52.4,8.413275413,0.001121936
1994,3232,Metal Fitters and Machinists,3,64.4,97.85902436,0.013049799
1994,3233,Precision Metal Trades Workers,3,55.8,7.508998753,0.001001348
1994,3234,Toolmakers and Engineering Patternmakers,3,79,9.236406788,0.001231703
1994,3241,Panelbeaters,3,80.7,21.90235421,0.002920746
1994,3242,Vehicle Body Builders and Trimmers,3,68.2,5.128890475,0.000683953
1994,3243,Vehicle Painters,3,79.6,11.27150082,0.001503089
1994,3311,Bricklayers and Stonemasons,3,83.1,27.7033139,0.003694321
1994,3312,Carpenters and Joiners,3,72,93.51192451,0.0124701
1994,3321,Floor Finishers,3,80.6,6.330128945,0.000844142
1994,3322,Painting Trades Workers,3,75.2,38.1285776,0.005084562
1994,3331,Glaziers,3,73,6.440652478,0.000858881
