Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total,Share of workforce (%),Sub-Major Group,Major Group
1995,5412,Information Officers,4,95.9,35915,0.46,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1996,5412,Information Officers,4,95.9,35728,0.45,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1997,5412,Information Officers,4,95.9,41195,0.51,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1998,5412,Information Officers,4,95.9,40573,0.5,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1999,5412,Information Officers,4,95.9,51952,0.63,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2000,5412,Information Officers,4,95.9,52373,0.61,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2001,5412,Information Officers,4,95.9,54338,0.63,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2002,5412,Information Officers,4,95.9,55791,0.63,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2003,5412,Information Officers,4,95.9,59652,0.66,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2004,5412,Information Officers,4,95.9,51110,0.56,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2005,5412,Information Officers,4,95.9,61780,0.66,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2006,5412,Information Officers,4,95.9,70483,0.73,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2007,5412,Information Officers,4,95.9,65983,0.66,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2008,5412,Information Officers,4,95.9,65327,0.64,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2009,5412,Information Officers,4,95.9,76884,0.75,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2010,5412,Information Officers,4,95.9,63824,0.61,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2011,5412,Information Officers,4,95.9,68745,0.65,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2012,5412,Information Officers,4,95.9,64696,0.6,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2013,5412,Information Officers,4,95.9,67527,0.63,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2014,5412,Information Officers,4,95.9,71403,0.66,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2015,5412,Information Officers,4,95.9,72106,0.66,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2016,5412,Information Officers,4,95.9,75303,0.68,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2017,5412,Information Officers,4,95.9,69679,0.6,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
2018,5412,Information Officers,4,95.9,73952,0.62,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1988,5619,Other Clerical and Office Support Workers,5,96.7,42616,0.6,Clerical and Office Support Workers,Clerical and Administrative Workers
1989,5619,Other Clerical and Office Support Workers,5,96.7,40721,0.55,Clerical and Office Support Workers,Clerical and Administrative Workers
1990,5619,Other Clerical and Office Support Workers,5,96.7,48587,0.64,Clerical and Office Support Workers,Clerical and Administrative Workers
1991,5619,Other Clerical and Office Support Workers,5,96.7,46776,0.64,Clerical and Office Support Workers,Clerical and Administrative Workers
1992,5619,Other Clerical and Office Support Workers,5,96.7,42083,0.58,Clerical and Office Support Workers,Clerical and Administrative Workers
1993,5619,Other Clerical and Office Support Workers,5,96.7,23595,0.32,Clerical and Office Support Workers,Clerical and Administrative Workers
1994,5619,Other Clerical and Office Support Workers,5,96.7,19492,0.25,Clerical and Office Support Workers,Clerical and Administrative Workers
1995,5619,Other Clerical and Office Support Workers,5,96.7,16831,0.21,Clerical and Office Support Workers,Clerical and Administrative Workers
1996,5619,Other Clerical and Office Support Workers,5,96.7,13094,0.16,Clerical and Office Support Workers,Clerical and Administrative Workers
1997,5619,Other Clerical and Office Support Workers,5,96.7,6353,0.07,Clerical and Office Support Workers,Clerical and Administrative Workers
1998,5619,Other Clerical and Office Support Workers,5,96.7,5962,0.07,Clerical and Office Support Workers,Clerical and Administrative Workers
1999,5619,Other Clerical and Office Support Workers,5,96.7,5620,0.06,Clerical and Office Support Workers,Clerical and Administrative Workers
2000,5619,Other Clerical and Office Support Workers,5,96.7,6977,0.08,Clerical and Office Support Workers,Clerical and Administrative Workers
2001,5619,Other Clerical and Office Support Workers,5,96.7,10945,0.12,Clerical and Office Support Workers,Clerical and Administrative Workers
2002,5619,Other Clerical and Office Support Workers,5,96.7,7303,0.08,Clerical and Office Support Workers,Clerical and Administrative Workers
2003,5619,Other Clerical and Office Support Workers,5,96.7,9911,0.11,Clerical and Office Support Workers,Clerical and Administrative Workers
2004,5619,Other Clerical and Office Support Workers,5,96.7,9775,0.1,Clerical and Office Support Workers,Clerical and Administrative Workers
2005,5619,Other Clerical and Office Support Workers,5,96.7,11251,0.12,Clerical and Office Support Workers,Clerical and Administrative Workers
2006,5619,Other Clerical and Office Support Workers,5,96.7,11249,0.11,Clerical and Office Support Workers,Clerical and Administrative Workers
2007,5619,Other Clerical and Office Support Workers,5,96.7,9767,0.09,Clerical and Office Support Workers,Clerical and Administrative Workers
2008,5619,Other Clerical and Office Support Workers,5,96.7,9663,0.09,Clerical and Office Support Workers,Clerical and Administrative Workers
2009,5619,Other Clerical and Office Support Workers,5,96.7,9387,0.09,Clerical and Office Support Workers,Clerical and Administrative Workers
2010,5619,Other Clerical and Office Support Workers,5,96.7,8259,0.07,Clerical and Office Support Workers,Clerical and Administrative Workers
2011,5619,Other Clerical and Office Support Workers,5,96.7,13100,0.12,Clerical and Office Support Workers,Clerical and Administrative Workers
2012,5619,Other Clerical and Office Support Workers,5,96.7,6814,0.06,Clerical and Office Support Workers,Clerical and Administrative Workers
2013,5619,Other Clerical and Office Support Workers,5,96.7,7323,0.06,Clerical and Office Support Workers,Clerical and Administrative Workers
2014,5619,Other Clerical and Office Support Workers,5,96.7,6571,0.06,Clerical and Office Support Workers,Clerical and Administrative Workers
2015,5619,Other Clerical and Office Support Workers,5,96.7,6860,0.06,Clerical and Office Support Workers,Clerical and Administrative Workers
2016,5619,Other Clerical and Office Support Workers,5,96.7,9499,0.08,Clerical and Office Support Workers,Clerical and Administrative Workers
2017,5619,Other Clerical and Office Support Workers,5,96.7,9834,0.08,Clerical and Office Support Workers,Clerical and Administrative Workers
2018,5619,Other Clerical and Office Support Workers,5,96.7,6377,0.05,Clerical and Office Support Workers,Clerical and Administrative Workers
1988,6113,Sales Representatives,4,77.9,70335,1,Sales Representatives and Agents,Sales Workers
1989,6113,Sales Representatives,4,77.9,82920,1.12,Sales Representatives and Agents,Sales Workers
1990,6113,Sales Representatives,4,77.9,87967,1.17,Sales Representatives and Agents,Sales Workers
1991,6113,Sales Representatives,4,77.9,88122,1.2,Sales Representatives and Agents,Sales Workers
1992,6113,Sales Representatives,4,77.9,85983,1.18,Sales Representatives and Agents,Sales Workers
1993,6113,Sales Representatives,4,77.9,88120,1.21,Sales Representatives and Agents,Sales Workers
1994,6113,Sales Representatives,4,77.9,83425,1.11,Sales Representatives and Agents,Sales Workers
1995,6113,Sales Representatives,4,77.9,95392,1.22,Sales Representatives and Agents,Sales Workers
1996,6113,Sales Representatives,4,77.9,92582,1.17,Sales Representatives and Agents,Sales Workers
1997,6113,Sales Representatives,4,77.9,82775,1.04,Sales Representatives and Agents,Sales Workers
1998,6113,Sales Representatives,4,77.9,84355,1.04,Sales Representatives and Agents,Sales Workers
1999,6113,Sales Representatives,4,77.9,94626,1.14,Sales Representatives and Agents,Sales Workers
2000,6113,Sales Representatives,4,77.9,101294,1.19,Sales Representatives and Agents,Sales Workers
2001,6113,Sales Representatives,4,77.9,89134,1.03,Sales Representatives and Agents,Sales Workers
2002,6113,Sales Representatives,4,77.9,91871,1.05,Sales Representatives and Agents,Sales Workers
2003,6113,Sales Representatives,4,77.9,92129,1.03,Sales Representatives and Agents,Sales Workers
2004,6113,Sales Representatives,4,77.9,83056,0.92,Sales Representatives and Agents,Sales Workers
2005,6113,Sales Representatives,4,77.9,96842,1.04,Sales Representatives and Agents,Sales Workers
2006,6113,Sales Representatives,4,77.9,101932,1.06,Sales Representatives and Agents,Sales Workers
2007,6113,Sales Representatives,4,77.9,95149,0.96,Sales Representatives and Agents,Sales Workers
2008,6113,Sales Representatives,4,77.9,97936,0.96,Sales Representatives and Agents,Sales Workers
2009,6113,Sales Representatives,4,77.9,99975,0.98,Sales Representatives and Agents,Sales Workers
2010,6113,Sales Representatives,4,77.9,104439,1.01,Sales Representatives and Agents,Sales Workers
2011,6113,Sales Representatives,4,77.9,105681,1,Sales Representatives and Agents,Sales Workers
2012,6113,Sales Representatives,4,77.9,95954,0.9,Sales Representatives and Agents,Sales Workers
2013,6113,Sales Representatives,4,77.9,94285,0.88,Sales Representatives and Agents,Sales Workers
2014,6113,Sales Representatives,4,77.9,91832,0.85,Sales Representatives and Agents,Sales Workers
2015,6113,Sales Representatives,4,77.9,93519,0.85,Sales Representatives and Agents,Sales Workers
2016,6113,Sales Representatives,4,77.9,96134,0.86,Sales Representatives and Agents,Sales Workers
2017,6113,Sales Representatives,4,77.9,87168,0.76,Sales Representatives and Agents,Sales Workers
2018,6113,Sales Representatives,4,77.9,90409,0.76,Sales Representatives and Agents,Sales Workers
1988,6211,Sales Assistants (General),5,91.7,320027,4.55,Sales Assistants and Salespersons,Sales Workers
1989,6211,Sales Assistants (General),5,91.7,338473,4.59,Sales Assistants and Salespersons,Sales Workers
1990,6211,Sales Assistants (General),5,91.7,361664,4.83,Sales Assistants and Salespersons,Sales Workers
1991,6211,Sales Assistants (General),5,91.7,343919,4.71,Sales Assistants and Salespersons,Sales Workers
1992,6211,Sales Assistants (General),5,91.7,348614,4.81,Sales Assistants and Salespersons,Sales Workers
1993,6211,Sales Assistants (General),5,91.7,351227,4.83,Sales Assistants and Salespersons,Sales Workers
1994,6211,Sales Assistants (General),5,91.7,380282,5.07,Sales Assistants and Salespersons,Sales Workers
1995,6211,Sales Assistants (General),5,91.7,404264,5.19,Sales Assistants and Salespersons,Sales Workers
1996,6211,Sales Assistants (General),5,91.7,421690,5.34,Sales Assistants and Salespersons,Sales Workers
1997,6211,Sales Assistants (General),5,91.7,425369,5.35,Sales Assistants and Salespersons,Sales Workers
1998,6211,Sales Assistants (General),5,91.7,434269,5.37,Sales Assistants and Salespersons,Sales Workers
1999,6211,Sales Assistants (General),5,91.7,430310,5.22,Sales Assistants and Salespersons,Sales Workers
2000,6211,Sales Assistants (General),5,91.7,434035,5.13,Sales Assistants and Salespersons,Sales Workers
2001,6211,Sales Assistants (General),5,91.7,450106,5.25,Sales Assistants and Salespersons,Sales Workers
2002,6211,Sales Assistants (General),5,91.7,462708,5.29,Sales Assistants and Salespersons,Sales Workers
2003,6211,Sales Assistants (General),5,91.7,476944,5.33,Sales Assistants and Salespersons,Sales Workers
2004,6211,Sales Assistants (General),5,91.7,490501,5.44,Sales Assistants and Salespersons,Sales Workers
2005,6211,Sales Assistants (General),5,91.7,504781,5.43,Sales Assistants and Salespersons,Sales Workers
2006,6211,Sales Assistants (General),5,91.7,482425,5.04,Sales Assistants and Salespersons,Sales Workers
2007,6211,Sales Assistants (General),5,91.7,459614,4.66,Sales Assistants and Salespersons,Sales Workers
2008,6211,Sales Assistants (General),5,91.7,461680,4.55,Sales Assistants and Salespersons,Sales Workers
2009,6211,Sales Assistants (General),5,91.7,464680,4.57,Sales Assistants and Salespersons,Sales Workers
2010,6211,Sales Assistants (General),5,91.7,494689,4.78,Sales Assistants and Salespersons,Sales Workers
2011,6211,Sales Assistants (General),5,91.7,494864,4.7,Sales Assistants and Salespersons,Sales Workers
2012,6211,Sales Assistants (General),5,91.7,492845,4.63,Sales Assistants and Salespersons,Sales Workers
2013,6211,Sales Assistants (General),5,91.7,514334,4.81,Sales Assistants and Salespersons,Sales Workers
2014,6211,Sales Assistants (General),5,91.7,522719,4.88,Sales Assistants and Salespersons,Sales Workers
2015,6211,Sales Assistants (General),5,91.7,541455,4.96,Sales Assistants and Salespersons,Sales Workers
2016,6211,Sales Assistants (General),5,91.7,520442,4.7,Sales Assistants and Salespersons,Sales Workers
2017,6211,Sales Assistants (General),5,91.7,533913,4.67,Sales Assistants and Salespersons,Sales Workers
2018,6211,Sales Assistants (General),5,91.7,518597,4.4,Sales Assistants and Salespersons,Sales Workers
1988,6217,Street Vendors and Related Salespersons,5,94,11902,0.16,Sales Assistants and Salespersons,Sales Workers
1989,6217,Street Vendors and Related Salespersons,5,94,13268,0.18,Sales Assistants and Salespersons,Sales Workers
1990,6217,Street Vendors and Related Salespersons,5,94,12907,0.17,Sales Assistants and Salespersons,Sales Workers
1991,6217,Street Vendors and Related Salespersons,5,94,14655,0.2,Sales Assistants and Salespersons,Sales Workers
1992,6217,Street Vendors and Related Salespersons,5,94,16282,0.22,Sales Assistants and Salespersons,Sales Workers
1993,6217,Street Vendors and Related Salespersons,5,94,15167,0.2,Sales Assistants and Salespersons,Sales Workers
1994,6217,Street Vendors and Related Salespersons,5,94,13001,0.17,Sales Assistants and Salespersons,Sales Workers
1995,6217,Street Vendors and Related Salespersons,5,94,12489,0.16,Sales Assistants and Salespersons,Sales Workers
1996,6217,Street Vendors and Related Salespersons,5,94,18912,0.23,Sales Assistants and Salespersons,Sales Workers
1997,6217,Street Vendors and Related Salespersons,5,94,25724,0.32,Sales Assistants and Salespersons,Sales Workers
1998,6217,Street Vendors and Related Salespersons,5,94,23237,0.28,Sales Assistants and Salespersons,Sales Workers
1999,6217,Street Vendors and Related Salespersons,5,94,23407,0.28,Sales Assistants and Salespersons,Sales Workers
2000,6217,Street Vendors and Related Salespersons,5,94,23586,0.27,Sales Assistants and Salespersons,Sales Workers
2001,6217,Street Vendors and Related Salespersons,5,94,14306,0.16,Sales Assistants and Salespersons,Sales Workers
2002,6217,Street Vendors and Related Salespersons,5,94,16072,0.18,Sales Assistants and Salespersons,Sales Workers
2003,6217,Street Vendors and Related Salespersons,5,94,13767,0.15,Sales Assistants and Salespersons,Sales Workers
2004,6217,Street Vendors and Related Salespersons,5,94,16109,0.17,Sales Assistants and Salespersons,Sales Workers
2005,6217,Street Vendors and Related Salespersons,5,94,14360,0.15,Sales Assistants and Salespersons,Sales Workers
2006,6217,Street Vendors and Related Salespersons,5,94,11378,0.11,Sales Assistants and Salespersons,Sales Workers
2007,6217,Street Vendors and Related Salespersons,5,94,13306,0.13,Sales Assistants and Salespersons,Sales Workers
2008,6217,Street Vendors and Related Salespersons,5,94,9515,0.09,Sales Assistants and Salespersons,Sales Workers
2009,6217,Street Vendors and Related Salespersons,5,94,10192,0.1,Sales Assistants and Salespersons,Sales Workers
2010,6217,Street Vendors and Related Salespersons,5,94,10588,0.1,Sales Assistants and Salespersons,Sales Workers
2011,6217,Street Vendors and Related Salespersons,5,94,10158,0.09,Sales Assistants and Salespersons,Sales Workers
2012,6217,Street Vendors and Related Salespersons,5,94,11702,0.11,Sales Assistants and Salespersons,Sales Workers
2013,6217,Street Vendors and Related Salespersons,5,94,8517,0.07,Sales Assistants and Salespersons,Sales Workers
2014,6217,Street Vendors and Related Salespersons,5,94,7204,0.06,Sales Assistants and Salespersons,Sales Workers
2015,6217,Street Vendors and Related Salespersons,5,94,10126,0.09,Sales Assistants and Salespersons,Sales Workers
2016,6217,Street Vendors and Related Salespersons,5,94,8543,0.07,Sales Assistants and Salespersons,Sales Workers
2017,6217,Street Vendors and Related Salespersons,5,94,10053,0.08,Sales Assistants and Salespersons,Sales Workers
2018,6217,Street Vendors and Related Salespersons,5,94,7890,0.06,Sales Assistants and Salespersons,Sales Workers
1988,7213,Forklift Drivers,4,91,27071,0.38,Mobile Plant Operators,Machinery Operators and Drivers
1989,7213,Forklift Drivers,4,91,31684,0.43,Mobile Plant Operators,Machinery Operators and Drivers
1990,7213,Forklift Drivers,4,91,30108,0.4,Mobile Plant Operators,Machinery Operators and Drivers
1991,7213,Forklift Drivers,4,91,30273,0.41,Mobile Plant Operators,Machinery Operators and Drivers
1992,7213,Forklift Drivers,4,91,29443,0.4,Mobile Plant Operators,Machinery Operators and Drivers
1993,7213,Forklift Drivers,4,91,30080,0.41,Mobile Plant Operators,Machinery Operators and Drivers
1994,7213,Forklift Drivers,4,91,35485,0.47,Mobile Plant Operators,Machinery Operators and Drivers
1995,7213,Forklift Drivers,4,91,36353,0.46,Mobile Plant Operators,Machinery Operators and Drivers
1996,7213,Forklift Drivers,4,91,37008,0.46,Mobile Plant Operators,Machinery Operators and Drivers
1997,7213,Forklift Drivers,4,91,38044,0.47,Mobile Plant Operators,Machinery Operators and Drivers
1998,7213,Forklift Drivers,4,91,39053,0.48,Mobile Plant Operators,Machinery Operators and Drivers
1999,7213,Forklift Drivers,4,91,40428,0.49,Mobile Plant Operators,Machinery Operators and Drivers
2000,7213,Forklift Drivers,4,91,41963,0.49,Mobile Plant Operators,Machinery Operators and Drivers
2001,7213,Forklift Drivers,4,91,45571,0.53,Mobile Plant Operators,Machinery Operators and Drivers
2002,7213,Forklift Drivers,4,91,47679,0.54,Mobile Plant Operators,Machinery Operators and Drivers
2003,7213,Forklift Drivers,4,91,48395,0.54,Mobile Plant Operators,Machinery Operators and Drivers
2004,7213,Forklift Drivers,4,91,51631,0.57,Mobile Plant Operators,Machinery Operators and Drivers
2005,7213,Forklift Drivers,4,91,55055,0.59,Mobile Plant Operators,Machinery Operators and Drivers
2006,7213,Forklift Drivers,4,91,53782,0.56,Mobile Plant Operators,Machinery Operators and Drivers
2007,7213,Forklift Drivers,4,91,58497,0.59,Mobile Plant Operators,Machinery Operators and Drivers
2008,7213,Forklift Drivers,4,91,59672,0.58,Mobile Plant Operators,Machinery Operators and Drivers
2009,7213,Forklift Drivers,4,91,57145,0.56,Mobile Plant Operators,Machinery Operators and Drivers
2010,7213,Forklift Drivers,4,91,59892,0.57,Mobile Plant Operators,Machinery Operators and Drivers
2011,7213,Forklift Drivers,4,91,63497,0.6,Mobile Plant Operators,Machinery Operators and Drivers
2012,7213,Forklift Drivers,4,91,66394,0.62,Mobile Plant Operators,Machinery Operators and Drivers
2013,7213,Forklift Drivers,4,91,57241,0.53,Mobile Plant Operators,Machinery Operators and Drivers
2014,7213,Forklift Drivers,4,91,57248,0.53,Mobile Plant Operators,Machinery Operators and Drivers
2015,7213,Forklift Drivers,4,91,59361,0.54,Mobile Plant Operators,Machinery Operators and Drivers
2016,7213,Forklift Drivers,4,91,55496,0.5,Mobile Plant Operators,Machinery Operators and Drivers
2017,7213,Forklift Drivers,4,91,55272,0.48,Mobile Plant Operators,Machinery Operators and Drivers
2018,7213,Forklift Drivers,4,91,65784,0.55,Mobile Plant Operators,Machinery Operators and Drivers
1988,7331,Truck Drivers,4,78.4,123825,1.76,Road and Rail Drivers,Machinery Operators and Drivers
1989,7331,Truck Drivers,4,78.4,128832,1.74,Road and Rail Drivers,Machinery Operators and Drivers
1990,7331,Truck Drivers,4,78.4,133050,1.77,Road and Rail Drivers,Machinery Operators and Drivers
1991,7331,Truck Drivers,4,78.4,128498,1.76,Road and Rail Drivers,Machinery Operators and Drivers
1992,7331,Truck Drivers,4,78.4,126705,1.74,Road and Rail Drivers,Machinery Operators and Drivers
1993,7331,Truck Drivers,4,78.4,131525,1.81,Road and Rail Drivers,Machinery Operators and Drivers
1994,7331,Truck Drivers,4,78.4,136483,1.82,Road and Rail Drivers,Machinery Operators and Drivers
1995,7331,Truck Drivers,4,78.4,140862,1.8,Road and Rail Drivers,Machinery Operators and Drivers
1996,7331,Truck Drivers,4,78.4,142272,1.8,Road and Rail Drivers,Machinery Operators and Drivers
1997,7331,Truck Drivers,4,78.4,143212,1.8,Road and Rail Drivers,Machinery Operators and Drivers
1998,7331,Truck Drivers,4,78.4,144107,1.78,Road and Rail Drivers,Machinery Operators and Drivers
1999,7331,Truck Drivers,4,78.4,148796,1.8,Road and Rail Drivers,Machinery Operators and Drivers
2000,7331,Truck Drivers,4,78.4,137877,1.63,Road and Rail Drivers,Machinery Operators and Drivers
2001,7331,Truck Drivers,4,78.4,153006,1.78,Road and Rail Drivers,Machinery Operators and Drivers
2002,7331,Truck Drivers,4,78.4,146869,1.67,Road and Rail Drivers,Machinery Operators and Drivers
2003,7331,Truck Drivers,4,78.4,154893,1.73,Road and Rail Drivers,Machinery Operators and Drivers
2004,7331,Truck Drivers,4,78.4,154806,1.71,Road and Rail Drivers,Machinery Operators and Drivers
2005,7331,Truck Drivers,4,78.4,152289,1.63,Road and Rail Drivers,Machinery Operators and Drivers
2006,7331,Truck Drivers,4,78.4,160596,1.67,Road and Rail Drivers,Machinery Operators and Drivers
2007,7331,Truck Drivers,4,78.4,162734,1.65,Road and Rail Drivers,Machinery Operators and Drivers
2008,7331,Truck Drivers,4,78.4,171032,1.68,Road and Rail Drivers,Machinery Operators and Drivers
2009,7331,Truck Drivers,4,78.4,169169,1.66,Road and Rail Drivers,Machinery Operators and Drivers
2010,7331,Truck Drivers,4,78.4,164106,1.58,Road and Rail Drivers,Machinery Operators and Drivers
2011,7331,Truck Drivers,4,78.4,169100,1.6,Road and Rail Drivers,Machinery Operators and Drivers
2012,7331,Truck Drivers,4,78.4,170116,1.59,Road and Rail Drivers,Machinery Operators and Drivers
2013,7331,Truck Drivers,4,78.4,177145,1.65,Road and Rail Drivers,Machinery Operators and Drivers
2014,7331,Truck Drivers,4,78.4,175903,1.64,Road and Rail Drivers,Machinery Operators and Drivers
2015,7331,Truck Drivers,4,78.4,178775,1.63,Road and Rail Drivers,Machinery Operators and Drivers
2016,7331,Truck Drivers,4,78.4,189507,1.71,Road and Rail Drivers,Machinery Operators and Drivers
2017,7331,Truck Drivers,4,78.4,195246,1.7,Road and Rail Drivers,Machinery Operators and Drivers
2018,7331,Truck Drivers,4,78.4,204285,1.73,Road and Rail Drivers,Machinery Operators and Drivers
1988,7411,Storepersons,4,76.4,61912,0.88,Storepersons,Machinery Operators and Drivers
1989,7411,Storepersons,4,76.4,65287,0.88,Storepersons,Machinery Operators and Drivers
1990,7411,Storepersons,4,76.4,60928,0.81,Storepersons,Machinery Operators and Drivers
1991,7411,Storepersons,4,76.4,57268,0.78,Storepersons,Machinery Operators and Drivers
1992,7411,Storepersons,4,76.4,58905,0.81,Storepersons,Machinery Operators and Drivers
1993,7411,Storepersons,4,76.4,57852,0.79,Storepersons,Machinery Operators and Drivers
1994,7411,Storepersons,4,76.4,60130,0.8,Storepersons,Machinery Operators and Drivers
1995,7411,Storepersons,4,76.4,63455,0.81,Storepersons,Machinery Operators and Drivers
1996,7411,Storepersons,4,76.4,65017,0.82,Storepersons,Machinery Operators and Drivers
1997,7411,Storepersons,4,76.4,68200,0.85,Storepersons,Machinery Operators and Drivers
1998,7411,Storepersons,4,76.4,67087,0.82,Storepersons,Machinery Operators and Drivers
1999,7411,Storepersons,4,76.4,67798,0.82,Storepersons,Machinery Operators and Drivers
2000,7411,Storepersons,4,76.4,67389,0.79,Storepersons,Machinery Operators and Drivers
2001,7411,Storepersons,4,76.4,67150,0.78,Storepersons,Machinery Operators and Drivers
2002,7411,Storepersons,4,76.4,72200,0.82,Storepersons,Machinery Operators and Drivers
2003,7411,Storepersons,4,76.4,73506,0.82,Storepersons,Machinery Operators and Drivers
2004,7411,Storepersons,4,76.4,73495,0.81,Storepersons,Machinery Operators and Drivers
2005,7411,Storepersons,4,76.4,84408,0.9,Storepersons,Machinery Operators and Drivers
2006,7411,Storepersons,4,76.4,97976,1.02,Storepersons,Machinery Operators and Drivers
2007,7411,Storepersons,4,76.4,114377,1.16,Storepersons,Machinery Operators and Drivers
2008,7411,Storepersons,4,76.4,114966,1.13,Storepersons,Machinery Operators and Drivers
2009,7411,Storepersons,4,76.4,105849,1.04,Storepersons,Machinery Operators and Drivers
2010,7411,Storepersons,4,76.4,106812,1.03,Storepersons,Machinery Operators and Drivers
2011,7411,Storepersons,4,76.4,118949,1.12,Storepersons,Machinery Operators and Drivers
2012,7411,Storepersons,4,76.4,116471,1.09,Storepersons,Machinery Operators and Drivers
2013,7411,Storepersons,4,76.4,121721,1.13,Storepersons,Machinery Operators and Drivers
2014,7411,Storepersons,4,76.4,123719,1.15,Storepersons,Machinery Operators and Drivers
2015,7411,Storepersons,4,76.4,128393,1.17,Storepersons,Machinery Operators and Drivers
2016,7411,Storepersons,4,76.4,125191,1.13,Storepersons,Machinery Operators and Drivers
2017,7411,Storepersons,4,76.4,122590,1.07,Storepersons,Machinery Operators and Drivers
2018,7411,Storepersons,4,76.4,132584,1.12,Storepersons,Machinery Operators and Drivers
